0.004725,0.005325,0.006306,0.003150,0.000788,0.000590,0.003346,0.001577,0.003153,0.004729,0.003940,0.002366,0.000788,0.000789,0.001573,0.005519,0.003152,0.000000,0.003929,0.007082
0.009452,0.002552,0.002963,0.003344,0.000787,0.000979,0.003153,0.000788,0.000979,0.003153,0.001577,0.002173,0.001315,0.003156,0.003153,0.004202,0.006887,0.003153,0.002366,0.004730
0.003343,0.006888,0.007879,0.003936,0.001577,0.002366,0.003087,0.000000,0.002367,0.006289,0.006381,0.003960,0.003940,0.004894,0.001505,0.003757,0.005532,0.002364,0.008071,0.006117
0.005504,0.004130,0.009452,0.005519,0.000789,0.006316,0.006118,0.000000,0.002379,0.003943,0.001578,0.006367,0.000001,0.003153,0.001969,0.006796,0.006308,0.001577,0.001581,0.002193
0.000788,0.000789,0.000788,0.000788,0.000000,0.000785,0.000788,0.000000,0.000786,0.000788,0.000788,0.000001,0.000000,0.000000,0.000000,0.002365,0.001574,0.000000,0.000000,0.000000
0.004333,0.002364,0.005505,0.004738,0.000007,0.001585,0.000788,0.000000,0.002366,0.002356,0.003166,0.007633,0.000790,0.004922,0.003922,0.002569,0.004923,0.002366,0.003154,0.004741
0.001577,0.002365,0.002288,0.003939,0.000000,0.003933,0.002177,0.000001,0.003152,0.000790,0.003162,0.003150,0.001393,0.001577,0.002432,0.004128,0.003153,0.000000,0.000788,0.003747
0.000000,0.000788,0.000788,0.000001,0.000786,0.001577,0.000788,0.000000,0.000000,0.000000,0.000000,0.001575,0.000000,0.000001,0.000788,0.000001,0.001578,0.000000,0.000788,0.000000
0.000788,0.003940,0.003154,0.004729,0.000788,0.002361,0.001574,0.000000,0.000789,0.001745,0.001575,0.002366,0.000003,0.002364,0.000789,0.003154,0.000788,0.002365,0.002531,0.001592
0.002362,0.005517,0.007093,0.002958,0.000000,0.001585,0.001579,0.000000,0.002555,0.001577,0.000788,0.001575,0.000188,0.003153,0.001577,0.006296,0.000789,0.002365,0.003940,0.002365
0.001577,0.004724,0.003348,0.001576,0.000788,0.002364,0.003154,0.000001,0.002363,0.003150,0.001577,0.000797,0.000001,0.002366,0.000788,0.004611,0.006306,0.000788,0.003953,0.002358
0.003154,0.004692,0.007147,0.003945,0.000000,0.006898,0.002361,0.000000,0.002954,0.003153,0.002371,0.004757,0.001571,0.004652,0.000806,0.004744,0.003942,0.003940,0.000789,0.005340
0.002175,0.000000,0.000790,0.001510,0.000000,0.000789,0.000789,0.000786,0.000002,0.000790,0.000776,0.000783,0.000000,0.000788,0.001572,0.000787,0.001577,0.000001,0.000001,0.000794
0.000788,0.001611,0.004670,0.003939,0.000788,0.003165,0.003146,0.000788,0.001576,0.000006,0.003153,0.006305,0.000792,0.001577,0.003920,0.004725,0.002366,0.002365,0.002352,0.003530
0.003939,0.000790,0.003941,0.003941,0.000000,0.003925,0.000067,0.000000,0.001746,0.003769,0.000201,0.000789,0.000000,0.001575,0.000790,0.003864,0.001578,0.000000,0.000776,0.002366
0.005526,0.002557,0.003949,0.007882,0.000783,0.007291,0.003739,0.000788,0.003154,0.000003,0.003735,0.009454,0.000786,0.005519,0.000792,0.006328,0.005345,0.003153,0.001576,0.004115
0.002358,0.003154,0.004730,0.003153,0.001577,0.003355,0.002354,0.001577,0.005328,0.003153,0.007092,0.006322,0.000790,0.004735,0.003927,0.005520,0.004136,0.000000,0.004743,0.005329
0.002365,0.000002,0.002365,0.003940,0.000786,0.000789,0.001577,0.000000,0.000788,0.001576,0.000000,0.001576,0.000788,0.000789,0.000000,0.003153,0.003942,0.003151,0.000788,0.003151
0.002554,0.003153,0.004728,0.003152,0.000000,0.007088,0.000788,0.000788,0.000953,0.003151,0.003152,0.000790,0.000789,0.000788,0.001580,0.001577,0.003943,0.001576,0.001771,0.002364
0.005517,0.005524,0.002366,0.009532,0.000000,0.004486,0.002376,0.002365,0.000005,0.004138,0.001577,0.004478,0.000776,0.004765,0.002173,0.002379,0.006303,0.002364,0.000789,0.002193
